wifi_hotspot_name,address,suburb,lat,long,site,btn_both
QLD_07385210X2,20 Duncan St,Fortitude Valley,-27.45895629,153.034177,Brunswick St & Chinatown,TRUE
QLD_07385212X2,390 Brunswick St,Fortitude Valley,-27.45933,153.03634,Brunswick St & Chinatown,TRUE
QLD_07385214X2,267 Brunswick St,Fortitude Valley,-27.45741,153.03363,Brunswick St & Chinatown,TRUE
QLD_07385217X2,316 Brunswick St,Fortitude Valley,-27.45774,153.03407,Brunswick St & Chinatown,TRUE
QLD_07385402X2,39 James St,Fortitude Valley,-27.45689634,153.0400461,James Street Precinct,TRUE
QLD_CAX104B,Intersection of Caxton St and Petrie Tce,Petrie Terrace,-27.464852,153.013268,Paddington,TRUE
QLD_CAX105B,47-55 Caxton St (outside Caxton Thai and 7 Nights Convenience Store),Petrie Terrace,-27.464075,153.012389,Paddington,TRUE
QLD_CAX106A,Intersection of Caxton St and Hale St,Petrie Terrace,-27.463395,153.011378,Paddington,TRUE
QLD_CAX107A,140 Caxton St,Milton,-27.46291439,153.0099488,Paddington,TRUE
QLD_CAX108A,Intersection of Caxton St and Dowse St,Paddington,-27.462316,153.008898,Paddington,TRUE
QLD_CBD001A,Intersection of Albert St and Alice St,Brisbane City,-27.473612,153.028942,CBD,TRUE
QLD_CBD004A,Intersection of George St and Alice St,Brisbane City,-27.474748,153.027119,CBD,TRUE
QLD_CBD005B,Intersection of George St and Adelaide St,Brisbane City,-27.470306,153.02278,CBD,TRUE
QLD_CBD006A,Intersection of Edward  St and Margaret St,Brisbane City,-27.471365,153.030052,CBD,TRUE
QLD_CBD009A,Intersection of Felix St and Mary St,Brisbane City,-27.470161,153.029606,CBD,TRUE
QLD_CBD013A,159 William Street,Brisbane City,-27.472409,153.023582,CBD,TRUE
QLD_CBD017A,Intersection of Alice and William St,Brisbane City,-27.475144,153.026505,CBD,TRUE
QLD_CBD018A,Intersection of North Quay and Queen St,Brisbane City,-27.471396,153.022694,CBD,TRUE
QLD_CBD019A,Intersection of North Quay and Adelaide St,Brisbane City,-27.470901,153.022096,CBD,TRUE
QLD_CBD020A,Intersection of North Quay and Ann St,Brisbane City,-27.470031,153.021108,CBD,TRUE
QLD_CBD023C,42 Makerston St,Brisbane City,-27.467405,153.017789,CBD,TRUE
QLD_CBD027A,Intersection of Roma St and Parkland,Brisbane City,-27.467218,153.020932,CBD,TRUE
QLD_CBD028B,Intersection of Turbot St and Albert St,Brisbane City,-27.467416,153.023131,CBD,TRUE
QLD_CBD029B,Intersection of Ann St and Roma St,Brisbane City,-27.468296,153.023412,CBD,TRUE
QLD_CBD031A,Intersection of Charlotte St and Albert St,Brisbane City,-27.471144,153.026854,CBD,TRUE
QLD_CBD034A,Intersection of Charlotte and Creek St,Brisbane City,-27.468581,153.02993,CBD,TRUE
QLD_CBD035A,Intersection of Elizabeth St and Creek St,Brisbane City,-27.467901,153.029341,CBD,TRUE
QLD_CBD036A,Intersection of Elizabeth St and George St,Brisbane City,-27.471761,153.024443,CBD,TRUE
QLD_CBD042A,Intersection of Ann and George St,Brisbane City,-27.469468,153.021954,CBD,TRUE
QLD_CBD045A,Intersection of Adelaide St and Creek St,Brisbane City,-27.466392,153.027805,CBD,TRUE
QLD_CBD046A,Intersection of Creek St and Queen St,Brisbane City,-27.46691,153.028579,CBD,TRUE
QLD_CBD047B,Intersection of Wharf St and Queen St,Brisbane City,-27.465686,153.030161,CBD,TRUE
QLD_CBD049A,443 Queen Street,Brisbane City,-27.46488,153.031327,CBD,TRUE
QLD_CBD050A,80 Eagle Street,Brisbane City,-27.467057,153.029948,CBD,TRUE
QLD_CBD051A,Intersection of Adelaide St and Queen St,Brisbane City,-27.463745,153.031258,CBD,TRUE
QLD_CBD053B,Intersection of Adelaide St and Albert St,Brisbane City,-27.468741,153.024521,CBD,TRUE
QLD_CBD054A,Intersection of Adelaide St and Wharf St,Brisbane City,-27.464883,153.029411,CBD,TRUE
QLD_CBD058A,256 Ann Street (Central Station Exit),Brisbane City,-27.466202,153.026353,CBD,TRUE
QLD_CBD059A,Intersection of Ann St and Creek St,Brisbane City,-27.465544,153.026988,CBD,TRUE
QLD_CBD063A,Intersection of Turbot St and Edward St,Brisbane City,-27.466043,153.024893,CBD,TRUE
QLD_CBD065A,Intersection of Turbot St and Wharf St,Brisbane City,-27.463729,153.028235,CBD,TRUE
QLD_CBD068A,208 Boundary Street,Spring Hill,-27.46176496,153.0299777,CBD,TRUE
QLD_CBD069A,70 Wickham St,Fortitude Valley,-27.46171055,153.031091,CBD,TRUE
QLD_CBD072A,211 Adelaide St,Brisbane City,-27.466884,153.027173,CBD,TRUE
QLD_CBD074B,Intersection of George St and Queen St,Brisbane City,-27.471017,153.023694,CBD,TRUE
QLD_CBD076A,Intersection of George St and Tank St,Brisbane City,-27.467975,153.02074,CBD,TRUE
QLD_CBD077A,Intersection of George St and Herchel St,Brisbane City,-27.467302,153.019817,CBD,TRUE
QLD_CBD143A,City Botanic Gardens,Brisbane City,-27.475228,153.028856,Wifi In Parks,TRUE
QLD_CBD157A,King George Square,Brisbane City,-27.468269,153.024276,Wifi In Parks,TRUE
QLD_CBD158A,Post Office Square,Brisbane City,-27.467459,153.027402,Wifi In Parks,TRUE
QLD_CBD159A,King Edward Park Jacobs Ladder,Brisbane City,-27.465809,153.023932,Wifi In Parks,TRUE
QLD_CBD161A,Intersection of Albert and Mary St,Brisbane City,-27.471962,153.027597,CBD,TRUE
QLD_CBD169A,Intersection of Herschel  St and North Quay,Brisbane City,-27.468291,153.018609,CBD,TRUE
QLD_CBD183A,Intersection of Edward St and Charlotte St,Brisbane City,-27.469878,153.0283,CBD,TRUE
QLD_CBD184A,Intersection of Ann St and Edward St,Brisbane City,-27.466817,153.025294,CBD,TRUE
QLD_CBD185A,Intersection of Mary St and George St,Brisbane City,-27.473275,153.025901,CBD,TRUE
QLD_CBD186A,Intersection of Margaret St and George St,Brisbane City,-27.473993,153.026649,CBD,TRUE
QLD_CBD224A,71 Eagle St - Riparian Plaza,Brisbane City,-27.468136,153.030957,CBD,TRUE
QLD_CBD240A,Victoria Bridge - CBD side,Brisbane City,-27.471764,153.022499,Victoria Bridge,TRUE
QLD_CHI080A,Intersection of Brunswick St and Ann St,Fortitude Valley,-27.458385,153.035003,Brunswick St & Chinatown,TRUE
QLD_CHI081A,Intersection of Ann and Warner St,Fortitude Valley,-27.457697,153.035644,Brunswick St & Chinatown,TRUE
QLD_CHI082A,25 Warner St,Fortitude Valley,-27.457253,153.035064,Brunswick St & Chinatown,TRUE
QLD_CHI220A,678-694 Ann St,Fortitude Valley,-27.457893,153.035017,Fortitude Valley,TRUE
QLD_CHI221A,7 Winn St,Fortitude Valley,-27.457846,153.036124,Fortitude Valley,TRUE
QLD_JAM113A,27 Doggett St,Fortitude Valley,-27.455397,153.04202,James Street Precinct,TRUE
QLD_JAM114A,19 Chester St,Fortitude Valley,-27.454684,153.041277,James Street Precinct,TRUE
QLD_JAM115A,9 Chester St,Newstead,-27.454173,153.040675,James Street Precinct,TRUE
QLD_JAM116A,1000 Ann St,Fortitude Valley,-27.453484,153.03985,James Street Precinct,TRUE
QLD_JAM117B,Intersection of Ann St and Wandoo St,Fortitude Valley,-27.45456,153.038786,James Street Precinct,TRUE
QLD_JAM118A,9 Wandoo St,Fortitude Valley,-27.455171,153.039583,James Street Precinct,TRUE
QLD_JAM119A,52 Wandoo St,Fortitude Valley,-27.456413,153.041379,James Street Precinct,TRUE
QLD_JAM120A,49 James St,Fortitude Valley,-27.45712,153.040317,James Street Precinct,TRUE
QLD_JAM121B,15 James St,Fortitude Valley,-27.456054,153.038923,James Street Precinct,TRUE
QLD_JAM122A,Intersection of Ann St and East St,Fortitude Valley,-27.455461,153.037878,James Street Precinct,TRUE
QLD_JAM131A,162 Arthur St,Fortitude Valley,-27.457795,153.040973,James Street Precinct,TRUE
QLD_JAM132A,22 Wandoo St,Fortitude Valley,-27.455498,153.04018,James Street Precinct,TRUE
QLD_JAM133A,104 MacLachlan St,Fortitude Valley,-27.456378,153.03859,James Street Precinct,TRUE
QLD_JAM134A,849 Ann St,Fortitude Valley,-27.455891,153.037676,James Street Precinct,TRUE
QLD_JAM231A,James St Precinct,Fortitude Valley,-27.45555,153.039581,James Street Precinct,TRUE
